Source,Plant Name,Unit Name,State,Year,Plant Vintage,Technology,Sector,Annual Generation (In MU)
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2020-21,2010-2019,Pressurised Heavy Water Reactor,central,1937.55
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2020-21,1990-1999,Pressurised Heavy Water Reactor,central,1817.34
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2020-21,1990-1999,Pressurised Heavy Water Reactor,central,1895.86
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2020-21,2010-2019,Pressurised Water Reactor,central,6322.52
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2020-21,2010-2019,Pressurised Water Reactor,central,5622.64
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2020-21,1980-1989,Pressurised Heavy Water Reactor,central,1703.74
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2020-21,1980-1989,Pressurised Heavy Water Reactor,central,0.00
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2020-21,1990-1999,Pressurised Heavy Water Reactor,central,1546.42
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2020-21,1990-1999,Pressurised Heavy Water Reactor,central,1736.93
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2020-21,2010-2019,Pressurised Heavy Water Reactor,central,1426.78
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2020-21,2000-2009,Pressurised Heavy Water Reactor,central,1810.99
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2020-21,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2020-21,2010-2019,Pressurised Heavy Water Reactor,central,2014.02
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2020-21,1980-1989,Pressurised Heavy Water Reactor,central,428.69
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2020-21,2000-2009,Pressurised Heavy Water Reactor,central,1674.33
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2020-21,2000-2009,Pressurised Heavy Water Reactor,central,3668.67
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2020-21,1960-1969,Boiling Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2020-21,1960-1969,Boiling Water Reactor,central,340.77
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2020-21,2000-2009,Pressurised Heavy Water Reactor,central,3876.16
