Source,State,Year,Annual Generation (In MU)
solar,Delhi,2017-18,13.41
solar,Goa,2017-18,
solar,Gujarat,2017-18,2096.99
solar,Haryana,2017-18,72.80
solar,Himachal Pradesh,2017-18,
solar,Jammu and Kashmir,2017-18,
solar,Jharkhand,2017-18,19.47
solar,Karnataka,2017-18,2391.73
solar,Kerala,2017-18,55.35
solar,Lakshadweep,2017-18,1.79
solar,Madhya Pradesh,2017-18,2203.24
solar,Maharashtra,2017-18,1100.67
solar,Manipur,2017-18,0.15
solar,Meghalaya,2017-18,
solar,Mizoram,2017-18,
solar,Nagaland,2017-18,
solar,Odisha,2017-18,218.40
solar,Others,2017-18,
solar,Puducherry,2017-18,1.17
solar,Punjab,2017-18,1432.07
solar,Rajasthan,2017-18,3918.60
solar,Sikkim,2017-18,
solar,Tamil Nadu,2017-18,2906.01
solar,Telangana,2017-18,4030.20
solar,Tripura,2017-18,6.71
solar,Uttar Pradesh,2017-18,685.93
solar,Uttarakhand,2017-18,291.08
solar,West Bengal,2017-18,20.53
solar,Andaman and Nicobar Islands,2016-17,12.82
solar,Andhra Pradesh,2016-17,1937.88
solar,Arunachal Pradesh,2016-17,0.11
solar,Assam,2016-17,79.86
solar,Bihar,2016-17,108.66
solar,Chandigarh,2016-17,4.17
solar,Chhattisgarh,2016-17,110.93
solar,Dadra and Nagar Haveli and Daman and Diu,2016-17,15.72
solar,Delhi,2016-17,5.68
solar,Goa,2016-17,
solar,Gujarat,2016-17,1738.28
solar,Haryana,2016-17,24.26
solar,Himachal Pradesh,2016-17,
solar,Jammu and Kashmir,2016-17,
solar,Jharkhand,2016-17,36.92
solar,Karnataka,2016-17,524.69
solar,Kerala,2016-17,26.51
solar,Lakshadweep,2016-17,1.59
solar,Madhya Pradesh,2016-17,1449.60
solar,Maharashtra,2016-17,577.83
solar,Manipur,2016-17,0.02
solar,Meghalaya,2016-17,
solar,Mizoram,2016-17,
solar,Nagaland,2016-17,
solar,Odisha,2016-17,215.79
solar,Others,2016-17,
solar,Puducherry,2016-17,0.18
solar,Punjab,2016-17,905.75
solar,Rajasthan,2016-17,2189.41
solar,Sikkim,2016-17,
solar,Tamil Nadu,2016-17,1898.36
solar,Telangana,2016-17,1352.83
solar,Tripura,2016-17,6.89
solar,Uttar Pradesh,2016-17,267.29
solar,Uttarakhand,2016-17,32.26
solar,West Bengal,2016-17,14.98
solar,Andaman and Nicobar Islands,2015-16,12.57
